insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('JxQFV', 'Bamity', 'S.A', '0977-10-08', 'hrNGd', 'uJRTL');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('aEVXS', 'Konklab', 'S.A', '0997-08-06', 'vJZjV', 'zmpuG');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('xpmBH', 'Viva', 'S.A', '1496-12-17', 'IO9PU', 'j0jys');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('InbYj', 'Lotstring', 'S.A', '0528-07-30', 'ZkzFt', 'hcijt');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('McEQi', 'Vagram', 'S.A', '1809-09-11', 'M28HB', 'OtwLp');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('Wguih', 'Bamity', 'S.A', '0426-03-28', 'rWr9q', 'ZD8ht');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('jmlXV', 'Zaam-Dox', 'S.A', '1296-05-17', 'BsUaw', 'KnGJM');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('DmnQE', 'Toughjoyfax', 'S.A', '0412-03-23', 'fW8ME', 'jPtuu');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('p50eZ', 'Stronghold', 'S.A', '0485-04-18', 'urRYx', 'Sc1GX');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('r7xG9', 'Alphazap', 'S.A', '0185-05-10', '3ffD5', 'qw7W4');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('Etwx4', 'Tresom', 'S.A', '0866-07-12', '9KFM9', '7VF3E');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('lsdy7', 'Gembucket', 'S.A', '0730-07-31', '4aUM0', 'jqovM');
insert into CadenasDeCines (nit, nombre, razonSocial, fechaDeCreacion, idEmpleado, idUsuario) values ('17KH1', 'Zontrax', 'S.A', '0261-09-01', 'szIJ4', 'Pp5dS');
